1-800-CONFERENCE,Telephone-Long Distance,5/19/09,54.19
1080 EDUCATION INC,Non-Inv Fiscal Agent Purchases,9/18/08,"1,879.00"
1ST SOURCE PARTS CENTER,Maintenance Supplies,10/28/08,-123.01
1ST SOURCE PARTS CENTER,Maintenance Supplies,10/28/08,123.01
2M BUSINESS PRODUCTS LRC,Supplies,10/14/08,474.35
2M BUSINESS PRODUCTS,Non-Inv Equipment,10/23/08,139.99
2M BUSINESS PRODUCTS,Office Supplies,10/28/08,129.97
2M BUSINESS PRODUCTS,Office Supplies,10/28/08,22.98
2M BUSINESS PRODUCTS,Office Supplies,10/28/08,408.97
2M BUSINESS PRODUCTS,Office Supplies,10/28/08,64.45
2M BUSINESS PRODUCTS,Office Supplies,12/4/08,231.95
2M BUSINESS PRODUCTS,Office Supplies,12/4/08,416.95
2M BUSINESS PRODUCTS,Office Supplies,12/4/08,499.99
2M BUSINESS PRODUCTS,Non-Inv Equipment,1/15/09,177.29
2M BUSINESS PRODUCTS LRC,Supplies,3/19/09,106.98
2M BUSINESS PRODUCTS,Office Supplies,3/31/09,20.99
2M BUSINESS PRODUCTS LRC,Supplies,6/18/09,44.93
2M BUSINESS PRODUCTS LRC,Supplies,7/14/09,245.98
2M BUSINESS PRODUCTS LRC,Supplies,8/13/09,666.3
2M BUSINESS PRODUCTS,Non-Inv Equipment,9/4/08,411.04
2M BUSINESS PRODUCTS,Clearing - AP,9/16/08,149.99
2M BUSINESS PRODUCTS,Clearing - AP,9/16/08,-149.99
2M BUSINESS PRODUCTS,Departmental Supplies,10/2/08,219.8
2M BUSINESS PRODUCTS,Departmental Supplies,10/2/08,427.56
360TRAINING.COM INC,Other Contracted Svces/Labor,4/28/09,265.5
3D MECHANICAL/SERVICE CO INC,Repairs-Physical Plant Equipment,9/4/08,229.95
3M,Service Contracts,10/9/08,"1,005.00"
3M,Service Contracts,10/21/08,"4,860.00"
3M,Other Contracted Svces/Labor,11/26/08,"1,287.00"
3M,Service Contracts,12/12/08,"1,526.00"
3M,Service Contracts,4/14/09,"1,016.22"
3M,Other Contracted Svces/Labor,6/2/09,695
4 IMPRINT,Clubs,12/23/08,"1,349.81"
4-L ENGINEERING COMPANY INC,Service Contracts,4/9/09,"3,344.00"
4-L ENGINEERING COMPANY INC,Contract Labor,4/16/09,400
4-L ENGINEERING COMPANY INC,Repairs-Buildings,4/21/09,"1,923.72"
4-L ENGINEERING COMPANY INC,Repairs-Buildings,4/21/09,379.67
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,4/23/09,"1,194.00"
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,4/23/09,"1,194.00"
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,4/23/09,483.97
4-L ENGINEERING COMPANY INC,Repairs-Buildings,5/5/09,"3,424.22"
4-L ENGINEERING COMPANY INC,Repairs-Buildings,5/5/09,"3,648.22"
4-L ENGINEERING COMPANY INC,Service Contracts,5/7/09,"2,234.00"
4-L ENGINEERING COMPANY INC,Service Contracts,5/7/09,831
4-L ENGINEERING COMPANY INC,Service Contracts,5/7/09,"1,194.00"
4-L ENGINEERING COMPANY INC,Service Contracts,5/7/09,710
4-L ENGINEERING COMPANY INC,Clearing - AP,5/12/09,187
4-L ENGINEERING COMPANY INC,Clearing - AP,5/12/09,-187
4-L ENGINEERING COMPANY INC,Clearing - AP,5/12/09,"3,424.22"
4-L ENGINEERING COMPANY INC,Clearing - AP,5/12/09,"-3,424.22"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,5/19/09,429.94
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,5/19/09,200
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,5/19/09,"8,971.88"
4-L ENGINEERING COMPANY INC,Service Contracts,5/21/09,"3,344.00"
4-L ENGINEERING COMPANY INC,Service Contracts,5/21/09,"19,842.32"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,5/28/09,800.1
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/11/09,"6,612.50"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/11/09,"2,234.00"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/11/09,831
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/11/09,710
4-L ENGINEERING COMPANY INC,Service Contracts,6/11/09,-692
4-L ENGINEERING COMPANY INC,Service Contracts,6/11/09,"1,568.00"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/16/09,"1,979.27"
4-L ENGINEERING COMPANY INC,Repairs-Buildings,6/18/09,"7,241.33"
4-L ENGINEERING COMPANY INC,Service Contracts,6/25/09,"3,344.00"
4-L ENGINEERING COMPANY INC,Service Contracts,6/25/09,"1,994.05"
4-L ENGINEERING COMPANY INC,Service Contracts,6/25/09,240
4-L ENGINEERING COMPANY INC,Service Contracts,6/25/09,"1,194.00"
4-L ENGINEERING COMPANY INC,Repairs-Buildings,6/30/09,160
4-L ENGINEERING COMPANY INC,Repairs-Buildings,7/2/09,"2,250.92"
4-L ENGINEERING COMPANY INC,Service Contracts,7/9/09,710
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,7/14/09,480
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,7/14/09,280
