S-E-G SERVICES,Consultant,7/29/10,3500
S-E-G SERVICES,Contract Labor,8/19/10,2000
2M BUSINESS PRODUCTS,Office Supplies,7/8/10,15.98
2M BUSINESS PRODUCTS,Non-Inv Equipment,8/12/10,191.8
2M BUSINESS PRODUCTS LRC,Supplies,8/19/10,54.75
2M BUSINESS PRODUCTS,Non-Inv Furniture,9/1/09,270.75
2M BUSINESS PRODUCTS,Office Supplies,10/15/09,45
2M BUSINESS PRODUCTS LRC,Supplies,12/1/09,9.23
2M BUSINESS PRODUCTS,Departmental Supplies,2/4/10,516.8
2M BUSINESS PRODUCTS,Non-Inv Equipment,3/11/10,745
2M BUSINESS PRODUCTS,Awards,5/4/10,112.1
2M BUSINESS PRODUCTS,Non-Inv Equipment,6/8/10,230
3 ACES CASINO PARTIES,Miscellaneous,12/3/09,100
3 ACES CASINO PARTIES,Miscellaneous,12/10/09,700
360TRAINING.COM INC,Clearing,11/17/09,3
3M,Service Contracts,10/6/09,1035
3M,Service Contracts,10/6/09,725
3M,Service Contracts,10/15/09,1572
3M,Service Contracts,10/22/09,6948
3M,Other Contracted Svces/Labor,1/14/10,1326
3M,Other Contracted Svces/Labor,7/8/10,723
3M,Repairs-Other,7/20/10,979.63
3SPM LLC,Consultant,10/29/09,2093.5
3SPM LLC,Consultant,11/25/09,3101.2
3SPM LLC,Consultant,11/25/09,1000
3SPM LLC,Consultant,12/17/09,3000
3SPM LLC,Consultant,1/20/10,6066.2
3SPM LLC,Consultant,1/28/10,1610
3SPM LLC,Consultant,4/6/10,682
3SPM LLC,Renov Constr Mgmnt,4/15/10,10415
3SPM LLC,Renov Constr Mgmnt,5/20/10,4885
3SPM LLC,Renov Constr Mgmnt,6/24/10,11552
3SPM LLC,Renov Constr Mgmnt,7/15/10,14470
3SPM LLC,Renov Constr Mgmnt,8/17/10,8825
4 IMPRINT,Clubs,7/15/10,309.04
4-L ENGINEERING COMPANY INC,Service Contracts,3/16/10,560
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,3/30/10,10895
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/6/10,1118
4-L ENGINEERING COMPANY INC,Service Contracts,4/13/10,3344
4-L ENGINEERING COMPANY INC,Service Contracts,4/13/10,710
4-L ENGINEERING COMPANY INC,Service Contracts,4/13/10,1194
4-L ENGINEERING COMPANY INC,Service Contracts,4/13/10,831
4-L ENGINEERING COMPANY INC,Service Contracts,4/13/10,2234
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/15/10,640
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/15/10,325
4-L ENGINEERING COMPANY INC,Repairs-Buildings,4/22/10,7611.55
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/29/10,600
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/29/10,200
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,5/6/10,972
4-L ENGINEERING COMPANY INC,Repairs-Buildings,5/11/10,7620.99
4-L ENGINEERING COMPANY INC,Repairs-Buildings,5/11/10,1194
4-L ENGINEERING COMPANY INC,Repairs-Buildings,5/11/10,831
4-L ENGINEERING COMPANY INC,Repairs-Buildings,5/11/10,2234
4-L ENGINEERING COMPANY INC,Service Contracts,5/13/10,2416
4-L ENGINEERING COMPANY INC,Service Contracts,5/13/10,3344
4-L ENGINEERING COMPANY INC,Service Contracts,5/13/10,710
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,5/20/10,61646.63
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,5/20/10,320
4-L ENGINEERING COMPANY INC,Service Contracts,5/25/10,2416
4-L ENGINEERING COMPANY INC,Service Contracts,5/25/10,886
4-L ENGINEERING COMPANY INC,Service Contracts,5/25/10,7252.74
4-L ENGINEERING COMPANY INC HVAC,Supplies,5/27/10,998
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/8/10,160
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/8/10,710
4-L ENGINEERING COMPANY INC,Service Contracts,6/10/10,2416
4-L ENGINEERING COMPANY INC,Service Contracts,6/10/10,3344
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,6/15/10,1194
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,6/15/10,831
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,6/15/10,2234
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/24/10,855.17
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,7/1/10,11935.46
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,7/7/10,981
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,7/7/10,8679.5
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,7/13/10,1194
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,7/13/10,831
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,7/13/10,2234
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,7/15/10,472.5
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,7/15/10,2416
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,7/15/10,3344
4-L ENGINEERING COMPANY INC,Contract Labor,7/20/10,496.31
4-L ENGINEERING COMPANY INC,Service Contracts,7/27/10,710
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,8/5/10,3546.63
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,8/5/10,3352.1
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,8/5/10,3339.65
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,8/10/10,1194
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,8/10/10,831
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,8/10/10,2234
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,8/10/10,2416
