name,description,date,amount
S-E-G SERVICES,Rental/Lease-Other,7/19/11,3900
1-800-CONFERENCE,Telephone-Local Service,11/30/10,26.49
1-800-CONFERENCE,Telephone-Local Service,2/17/11,29.54
1-800-CONFERENCE,Telephone-Local Service,6/1/11,17.29
1-800-CONFERENCE,Telephone-Local Service,6/21/11,0.94
1105 MEDIA INC,Seminar/Registration Fees,6/21/11,899
2 KATS SEAFOOD INC,Refreshments,7/6/11,480
2 KATS SEAFOOD INC,Refreshments,7/21/11,380
2 KATS SEAFOOD INC,Refreshments,7/21/11,380
2M BUSINESS PRODUCTS,Non-Inv Equipment,9/8/10,451.08
2M BUSINESS PRODUCTS LRC,Supplies,11/2/10,320.63
2M BUSINESS PRODUCTS LRC,Supplies,11/11/10,134.62
2M BUSINESS PRODUCTS,Classroom Supplies,11/18/10,68.95
2M BUSINESS PRODUCTS LRC,Supplies,1/4/11,101.64
2M BUSINESS PRODUCTS,Non-Inv Equipment,5/17/11,79.98
2M BUSINESS PRODUCTS LRC,Supplies,6/9/11,93.14
3-DG ENVIRONMENTAL GRAPCHIS LL,Other Contracted Svces/Labor,7/19/11,820
3D MECHANICAL/SERVICE CO INC,Repairs-Physical Plant Equipment,8/30/11,1520
3M,Service Contracts,10/5/10,1635
3M,Other Contracted Svces/Labor,10/14/10,1382.88
3M,Other Contracted Svces/Labor,10/14/10,1000
3M,Service Contracts,10/19/10,1077
3M,Service Contracts,10/26/10,7226
3M,Other Contracted Svces/Labor,1/11/11,1379
3M,Other Contracted Svces/Labor,1/11/11,1029
3M,Other Contracted Svces/Labor,1/11/11,1368
3M,Other Contracted Svces/Labor,6/1/11,745
3M,Other Contracted Svces/Labor,7/21/11,1075
3SPM LLC,Consultant,9/28/10,6000
3SPM LLC,Renov Constr Mgmnt,11/2/10,11048
3SPM LLC,Renov Constr Mgmnt,12/16/10,2315.4
3SPM LLC,Renov Constr Mgmnt,1/13/11,1517.5
3SPM LLC,Renov Constr Mgmnt,3/15/11,513
3SPM LLC,Consultant,4/19/11,366
3SPM LLC,Renov Constr Mgmnt,6/21/11,512
4 IMPRINT,Office Supplies,4/26/11,811.87
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/5/11,2247.5
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/5/11,786.93
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/14/11,913
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/14/11,2668.34
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/14/11,958
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/19/11,809.05
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/21/11,998.75
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/21/11,446.25
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/21/11,3982
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/21/11,6892.96
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/21/11,765
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/21/11,920.35
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/26/11,4189.79
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/28/11,731.02
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,5/3/11,2978.8
4-L ENGINEERING COMPANY INC,Repairs-Buildings,5/5/11,1911.36
4-L ENGINEERING COMPANY INC,Repairs-Buildings,5/5/11,3982
4-L ENGINEERING COMPANY INC,Service Contracts,5/24/11,3982
4-L ENGINEERING COMPANY INC,Service Contracts,6/7/11,21445.2
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/9/11,2994
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/21/11,261
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/21/11,5142.5
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/21/11,3193.5
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,6/21/11,18062.33
4-L ENGINEERING COMPANY INC,Service Contracts,6/23/11,3982
4-L ENGINEERING COMPANY INC,Repairs-Buildings,6/30/11,594.87
4-L ENGINEERING COMPANY INC,Repairs-Buildings,6/30/11,468.18
4-L ENGINEERING COMPANY INC,Repairs-Buildings,6/30/11,3858.4
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,7/12/11,811
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,7/12/11,1286.07
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,7/19/11,2452.88
4-L ENGINEERING COMPANY INC,Service Contracts,7/21/11,3982
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,8/2/11,1567
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,8/2/11,893.95
4-L ENGINEERING COMPANY INC,Service Contracts,8/23/11,3982
4-L ENGINEERING COMPANY INC,Service Contracts,8/23/11,7139.6
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,8/30/11,3708
4-L ENGINEERING COMPANY INC,Repairs-Buildings,9/2/10,1589.54
4-L ENGINEERING COMPANY INC,Repairs-Buildings,9/2/10,160
4-L ENGINEERING COMPANY INC,Service Contracts-Custodial,9/14/10,1082
4-L ENGINEERING COMPANY INC,Service Contracts-Custodial,9/14/10,1884.29
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,9/16/10,224
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,9/21/10,24689
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,9/21/10,1472
4-L ENGINEERING COMPANY INC,Service Contracts,9/28/10,3344
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,9/30/10,2743.46
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,10/7/10,1194
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,10/7/10,831
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,10/7/10,2234
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,10/7/10,831
